url,status,found_via,note
https://dynamocks.us/products/fun-stripes-crew-length-socks-a-touch-of-sophisticated-style-colorful-luxurious-cotton-socks,429,linked from https://www.dynamocks.us/collections/new-arrival-1,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/hex-ankle-length-socks-cotton-ankle-socks,429,linked from https://www.dynamocks.us/collections/black-white-bliss,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/houndstooth-crew-length-socks-cotton-crew-socks,429,linked from https://www.dynamocks.us/collections/best-sellers,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/mango-crew-socks-single-pair-fruity-fun-cotton-comfort,429,linked from https://www.dynamocks.us/collections/cotton-crew-socks,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/mint-crew-length-socks-cotton-crew-socks,429,linked from https://www.dynamocks.us/collections/savvy-stripes-cotton-socks,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/mooch-crew-length-socks-mischief-for-your-feet,429,linked from https://www.dynamocks.us/collections/cotton-crew-socks,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/music-crew-length-socks-strike-a-chord-with-your-style,429,linked from https://www.dynamocks.us/collections/fun-socks,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/ocean-blues-set-6-pair-blue-gradient-dress-socks-for-men-women-dynamocks,429,linked from https://www.dynamocks.us/collections/crew-combos,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/orange-unisex-bamboo-crew-length-socks,429,linked from https://www.dynamocks.us/collections/bamboo,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/paws-and-bones-crew-length-socks-cotton-crew-socks,429,linked from https://www.dynamocks.us/collections/artistic-cotton-socks,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/plus-crew-length-socks-cotton-crew-socks,429,linked from https://www.dynamocks.us/collections/artistic-cotton-socks,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/pop-crew-length-socks-make-a-statement-with-bold-color,429,linked from https://www.dynamocks.us/collections/polka-dot-parade,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/prism-ankle-length-socks-a-spectrum-of-color-for-your-feet,429,linked from https://www.dynamocks.us/collections/cotton-ankle-socks,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/radiance-crew-length-men-women-designer-funky-creative-colorful-socks-unisex-socks-copy,429,linked from /,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/rickshaw-crew-socks-single-pair-fun-design-cotton-comfort,429,linked from https://www.dynamocks.us/collections/fun-socks,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/rogue-crew-length-socks-cotton-crew-socks,429,linked from https://www.dynamocks.us/collections/best-sellers,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
